name,artist_id,track_id,track_name,popularity
Dave,6Ip8FS7vWT1uKkJSweANQK,2FDTHlrBguDzQkp7PVj16Q,Sprinter,97
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Lover,100
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,One Thing At A Time,90
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),97
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,a Gift & a Curse,95
Luke Combs,718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,Gettin' Old,92
David Kushner,33NVpKoXjItPwUJTMZIOiY,1odExI7RdWc4BT515LTAwj,Daylight,98
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,6WzRpISELf3YglGAh7TXcG,Popular (Music from the HBO Original Series),92
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",89
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,3xIMkM5LgbVDkpO74O3Np3,Rush,87
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,90
SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,SOS,94
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],91
Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,Harry's House,94
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,90
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,94
Taylor Swift,06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu,Midnights,95
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",95
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,NewJeans 'Super Shy',93
Taylor Swift,06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v,Speak Now (Taylor's Version),93
Post Malone,246dkjvS1zLTtiykXe5h60,5w40ZYhbBMAlHYNDaVJIUu,Chemical,91
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),95
Vance Joy,10exVja0key0uqUkk6LJRT,3JvrhDOgAt6p7K8mDyZwRd,Dream Your Life Away (Special Edition),84
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,96
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4lIxdJw6W3Fg4vUIYCB0S5,1989,83
Lil Durk,3hcs9uc56yIGFCSy9leWe7,6T7FXSuXykeGktMLGp8WgE,Almost Healed,83
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,The Beginning: Cupid,98
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,5W4kiM2cUYBJXKRudNyxjW,One Thing At A Time,87
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1p80LdxRV74UKvL8gnD7ky,1989,84
Post Malone,246dkjvS1zLTtiykXe5h60,0RiRZpuVRbi7oqRdSMwhQY,Hollywood's Bleeding,88
Rema,46pWGuE3dSwY3bMMXGBvVS,1s7oOCT8vauUh01PbJD6ps,Rave & Roses Ultra,83
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,7qEHsqek33rTcFNT9PFqLf,Divinely Uninspired To A Hellish Extent,92
Calvin Harris,7CajNmpbOovFoOoasH2HaY,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),92
Luke Combs,718COspgdWOnwOFpJHRZHS,48UKTR66uUOT9LaUvooTNx,Growin' Up,84
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,92
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp,Dreamland,93
Taylor Swift,06HL4z0CvFAxyc27GXpf02,7KokYm8cMIXCsGVmUvKtqf,Midnights,92
The Killers,0C0XlULifJtAgn6ZNCW2eu,003vvx7Niy0yvhvHt4a68B,Hot Fuss,89
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,Flower Boy,95
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4R2kfaDFhslZEMJqAFNpdd,folklore,93
RAYE,5KKpBU5eC2tJDzf0wmlRp2,5mHdCZtVyb4DcJw8799hZp,My 21st Century Blues,90
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),95
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1R0a2iXumgCiFb7HEZ7gUE,reputation,92
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,50nfwKoDiSYg8zOCREWAm5,=,89
Kaliii,1YRqgFNXqRyMDRr8ClS1NL,7sliFe6W30tPBPh6dvZsIH,Area Codes,90
Taylor Swift,06HL4z0CvFAxyc27GXpf02,3sW3oSbzsfecv9XoUdGs7h,Speak Now (Taylor's Version),91
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,0ofHAoxe9vBkTCp2UQIavz,Rumours (Super Deluxe),88
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,93
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,3p7XQpdt8Dr6oMXSvRZ9bg,- (Deluxe),84
